Date,Week,Month,Year,Medium,Impressions,Ad Spend
08/04/2023,14,4,2023,Display,7234.00,61.00
08/04/2023,14,4,2023,Display,7240.00,62.00
08/04/2023,14,4,2023,Display,7312.00,62.00
08/04/2023,14,4,2023,Display,7255.00,62.00
08/04/2023,14,4,2023,Display,7232.00,61.00
08/04/2023,14,4,2023,Display,7440.00,63.00
08/04/2023,14,4,2023,Display,7279.00,62.00
08/04/2023,14,4,2023,Display,7811.00,66.00
08/04/2023,14,4,2023,Display,923.00,4.00
08/04/2023,14,4,2023,Display,34353.00,155.00
08/04/2023,14,4,2023,Display,45440.00,204.00
09/04/2023,15,4,2023,Display,146837.00,220.00
09/04/2023,15,4,2023,Display,145921.00,219.00
09/04/2023,15,4,2023,Display,145249.00,218.00
09/04/2023,15,4,2023,Display,145196.00,218.00
09/04/2023,15,4,2023,Display,144717.00,217.00
09/04/2023,15,4,2023,Display,144765.00,217.00
09/04/2023,15,4,2023,Display,144966.00,217.00
09/04/2023,15,4,2023,Display,30980.00,46.00
09/04/2023,15,4,2023,Display,30874.00,46.00
09/04/2023,15,4,2023,Display,30847.00,46.00
09/04/2023,15,4,2023,Display,30804.00,46.00
09/04/2023,15,4,2023,Display,30878.00,46.00
09/04/2023,15,4,2023,Display,30761.00,46.00
09/04/2023,15,4,2023,Display,30670.00,46.00
09/04/2023,15,4,2023,Display,54122.00,81.00
09/04/2023,15,4,2023,Display,54006.00,81.00
09/04/2023,15,4,2023,Display,53678.00,81.00
09/04/2023,15,4,2023,Display,53514.00,80.00
09/04/2023,15,4,2023,Display,53725.00,81.00
09/04/2023,15,4,2023,Display,53439.00,80.00
09/04/2023,15,4,2023,Display,53385.00,80.00
09/04/2023,15,4,2023,Display,10105.00,15.00
09/04/2023,15,4,2023,Display,10038.00,15.00
09/04/2023,15,4,2023,Display,10009.00,15.00
09/04/2023,15,4,2023,Display,10036.00,15.00
09/04/2023,15,4,2023,Display,9933.00,15.00
09/04/2023,15,4,2023,Display,9980.00,15.00
09/04/2023,15,4,2023,Display,9740.00,15.00
09/04/2023,15,4,2023,Display,5287.00,8.00
09/04/2023,15,4,2023,Display,5191.00,8.00
09/04/2023,15,4,2023,Display,5207.00,8.00
09/04/2023,15,4,2023,Display,5229.00,8.00
09/04/2023,15,4,2023,Display,5169.00,8.00
09/04/2023,15,4,2023,Display,5131.00,8.00
09/04/2023,15,4,2023,Display,5082.00,8.00
09/04/2023,15,4,2023,Display,4311.00,6.00
09/04/2023,15,4,2023,Display,4342.00,7.00
09/04/2023,15,4,2023,Display,4221.00,6.00
09/04/2023,15,4,2023,Display,4161.00,6.00
09/04/2023,15,4,2023,Display,4173.00,6.00
09/04/2023,15,4,2023,Display,4124.00,6.00
09/04/2023,15,4,2023,Display,4005.00,6.00
09/04/2023,15,4,2023,Display,4511.00,38.00
09/04/2023,15,4,2023,Display,4642.00,39.00
09/04/2023,15,4,2023,Display,4528.00,38.00
09/04/2023,15,4,2023,Display,4591.00,39.00
09/04/2023,15,4,2023,Display,4560.00,39.00
09/04/2023,15,4,2023,Display,4643.00,39.00
09/04/2023,15,4,2023,Display,4571.00,39.00
09/04/2023,15,4,2023,Display,7162.00,61.00
09/04/2023,15,4,2023,Display,7389.00,63.00
09/04/2023,15,4,2023,Display,7203.00,61.00
09/04/2023,15,4,2023,Display,7242.00,62.00
09/04/2023,15,4,2023,Display,7172.00,61.00
09/04/2023,15,4,2023,Display,7251.00,62.00
09/04/2023,15,4,2023,Display,7296.00,62.00
09/04/2023,15,4,2023,Display,7393.00,63.00
09/04/2023,15,4,2023,Display,1138.00,5.00
09/04/2023,15,4,2023,Display,27465.00,124.00
09/04/2023,15,4,2023,Display,36778.00,166.00
10/04/2023,15,4,2023,Display,157883.00,237.00
10/04/2023,15,4,2023,Display,157119.00,236.00
10/04/2023,15,4,2023,Display,157038.00,236.00
10/04/2023,15,4,2023,Display,157306.00,236.00
10/04/2023,15,4,2023,Display,157266.00,236.00
10/04/2023,15,4,2023,Display,156595.00,235.00
10/04/2023,15,4,2023,Display,156718.00,235.00
10/04/2023,15,4,2023,Display,40449.00,61.00
10/04/2023,15,4,2023,Display,40212.00,60.00
10/04/2023,15,4,2023,Display,40114.00,60.00
10/04/2023,15,4,2023,Display,40179.00,60.00
10/04/2023,15,4,2023,Display,40005.00,60.00
10/04/2023,15,4,2023,Display,39856.00,60.00
10/04/2023,15,4,2023,Display,39800.00,60.00
10/04/2023,15,4,2023,Display,49207.00,74.00
10/04/2023,15,4,2023,Display,49143.00,74.00
10/04/2023,15,4,2023,Display,49003.00,74.00
10/04/2023,15,4,2023,Display,49030.00,74.00
10/04/2023,15,4,2023,Display,48848.00,73.00
10/04/2023,15,4,2023,Display,48718.00,73.00
10/04/2023,15,4,2023,Display,48837.00,73.00
10/04/2023,15,4,2023,Display,8985.00,13.00
10/04/2023,15,4,2023,Display,8996.00,13.00
10/04/2023,15,4,2023,Display,8851.00,13.00
10/04/2023,15,4,2023,Display,8862.00,13.00
10/04/2023,15,4,2023,Display,8743.00,13.00
10/04/2023,15,4,2023,Display,8816.00,13.00
10/04/2023,15,4,2023,Display,8693.00,13.00
10/04/2023,15,4,2023,Display,5465.00,8.00
10/04/2023,15,4,2023,Display,5417.00,8.00
10/04/2023,15,4,2023,Display,5329.00,8.00
10/04/2023,15,4,2023,Display,5336.00,8.00
10/04/2023,15,4,2023,Display,5315.00,8.00
10/04/2023,15,4,2023,Display,5302.00,8.00
10/04/2023,15,4,2023,Display,5177.00,8.00
10/04/2023,15,4,2023,Display,5314.00,8.00
10/04/2023,15,4,2023,Display,5253.00,8.00
10/04/2023,15,4,2023,Display,5213.00,8.00
10/04/2023,15,4,2023,Display,5174.00,8.00
10/04/2023,15,4,2023,Display,5168.00,8.00
10/04/2023,15,4,2023,Display,5104.00,8.00
10/04/2023,15,4,2023,Display,5105.00,8.00
10/04/2023,15,4,2023,Display,4589.00,39.00
10/04/2023,15,4,2023,Display,4653.00,40.00
10/04/2023,15,4,2023,Display,4496.00,38.00
10/04/2023,15,4,2023,Display,4612.00,39.00
10/04/2023,15,4,2023,Display,4629.00,39.00
10/04/2023,15,4,2023,Display,4532.00,39.00
10/04/2023,15,4,2023,Display,4704.00,40.00
10/04/2023,15,4,2023,Display,7341.00,62.00
10/04/2023,15,4,2023,Display,7323.00,62.00
10/04/2023,15,4,2023,Display,7280.00,62.00
10/04/2023,15,4,2023,Display,7383.00,63.00
10/04/2023,15,4,2023,Display,7397.00,63.00
10/04/2023,15,4,2023,Display,7206.00,61.00
10/04/2023,15,4,2023,Display,7290.00,62.00
10/04/2023,15,4,2023,Display,8090.00,69.00
10/04/2023,15,4,2023,Display,1548.00,7.00
10/04/2023,15,4,2023,Display,27218.00,122.00
10/04/2023,15,4,2023,Display,35248.00,159.00
11/04/2023,15,4,2023,Display,134053.00,201.00
11/04/2023,15,4,2023,Display,125661.00,188.00
11/04/2023,15,4,2023,Display,125807.00,189.00
11/04/2023,15,4,2023,Display,125416.00,188.00
